item	itemLabel
http://www.wikidata.org/entity/Q4886	cultivar
http://www.wikidata.org/entity/Q7432	species
http://www.wikidata.org/entity/Q34740	genus
http://www.wikidata.org/entity/Q35409	family
http://www.wikidata.org/entity/Q36602	order
http://www.wikidata.org/entity/Q36732	kingdom
http://www.wikidata.org/entity/Q37517	class
http://www.wikidata.org/entity/Q38348	phylum
http://www.wikidata.org/entity/Q68947	subspecies
http://www.wikidata.org/entity/Q146481	domain
http://www.wikidata.org/entity/Q227936	tribe
http://www.wikidata.org/entity/Q279749	form
http://www.wikidata.org/entity/Q334460	division
http://www.wikidata.org/entity/Q630771	subvariety
http://www.wikidata.org/entity/Q767728	variety
http://www.wikidata.org/entity/Q1153785	subphylum
http://www.wikidata.org/entity/Q1306176	nothospecies
http://www.wikidata.org/entity/Q1783100	superspecies
http://www.wikidata.org/entity/Q2007442	infraclass
http://www.wikidata.org/entity/Q2136103	superfamily
http://www.wikidata.org/entity/Q2361851	infraphylum
http://www.wikidata.org/entity/Q2455704	subfamily
http://www.wikidata.org/entity/Q2752679	subkingdom
http://www.wikidata.org/entity/Q2889003	infraorder
http://www.wikidata.org/entity/Q2981883	cohorte
http://www.wikidata.org/entity/Q3025161	series
http://www.wikidata.org/entity/Q3146751	supergroup
http://www.wikidata.org/entity/Q3150876	infrakingdom
http://www.wikidata.org/entity/Q3181348	section
http://www.wikidata.org/entity/Q3238261	subgenus
http://www.wikidata.org/entity/Q3418438	branch
http://www.wikidata.org/entity/Q3491996	subdomain
http://www.wikidata.org/entity/Q3491997	subdivision
http://www.wikidata.org/entity/Q3504061	superclass
http://www.wikidata.org/entity/Q3798630	Infratribe
http://www.wikidata.org/entity/Q3825509	forma specialis
http://www.wikidata.org/entity/Q3965313	subtribe
http://www.wikidata.org/entity/Q3978005	superphylum
http://www.wikidata.org/entity/Q4150646	Group
http://www.wikidata.org/entity/Q4226087	infracohort
http://www.wikidata.org/entity/Q5469884	form
http://www.wikidata.org/entity/Q5481039	infrafamily
http://www.wikidata.org/entity/Q5867051	subclass
http://www.wikidata.org/entity/Q5867959	suborder
http://www.wikidata.org/entity/Q5868144	superorder
http://www.wikidata.org/entity/Q5998839	subsection
http://www.wikidata.org/entity/Q6045742	nothogenus
http://www.wikidata.org/entity/Q6054237	magnorder
http://www.wikidata.org/entity/Q6054425	supercohort
http://www.wikidata.org/entity/Q6054535	infralegion
http://www.wikidata.org/entity/Q6054637	sublegion
http://www.wikidata.org/entity/Q6054795	superlegion
http://www.wikidata.org/entity/Q6311258	parvorder
http://www.wikidata.org/entity/Q6462265	grandorder
http://www.wikidata.org/entity/Q6541077	subcohorte
http://www.wikidata.org/entity/Q7504331	legion
http://www.wikidata.org/entity/Q7506274	mirorder
http://www.wikidata.org/entity/Q9281160	group
http://www.wikidata.org/entity/Q10296147	epifamily
http://www.wikidata.org/entity/Q10861375	subsection
http://www.wikidata.org/entity/Q10861426	section
http://www.wikidata.org/entity/Q10861678	order
http://www.wikidata.org/entity/Q12770611	Q12770611
http://www.wikidata.org/entity/Q12774043	subform
http://www.wikidata.org/entity/Q13198444	subseries
http://www.wikidata.org/entity/Q14817220	supertribe
http://www.wikidata.org/entity/Q18012823	supergenus
http://www.wikidata.org/entity/Q19858692	superkingdom
http://www.wikidata.org/entity/Q21061204	Subterclass
http://www.wikidata.org/entity/Q21061732	series
http://www.wikidata.org/entity/Q21074316	Hyporder
http://www.wikidata.org/entity/Q21446564	empire
http://www.wikidata.org/entity/Q21446576	infradominion
http://www.wikidata.org/entity/Q21446580	infraform
http://www.wikidata.org/entity/Q21446584	Q21446584
http://www.wikidata.org/entity/Q21446587	infraempire
http://www.wikidata.org/entity/Q21446598	infradomain
http://www.wikidata.org/entity/Q21446603	infraspecies
http://www.wikidata.org/entity/Q21446609	Q21446609
http://www.wikidata.org/entity/Q21447719	subempire
http://www.wikidata.org/entity/Q21447725	subdominion
http://www.wikidata.org/entity/Q21447758	superdominion
http://www.wikidata.org/entity/Q21447759	superform
http://www.wikidata.org/entity/Q21447761	superempire
http://www.wikidata.org/entity/Q21447767	Q21447767
http://www.wikidata.org/entity/Q21559275	supersection
http://www.wikidata.org/entity/Q22666877	superdomain
http://www.wikidata.org/entity/Q23759835	infradivision
http://www.wikidata.org/entity/Q23759918	Minorder
http://www.wikidata.org/entity/Q23759960	Nanorder
http://www.wikidata.org/entity/Q23760204	superdivision
http://www.wikidata.org/entity/Q23812012	microorder
http://www.wikidata.org/entity/Q25818920	dominion
http://www.wikidata.org/entity/Q26197587	parvclass
http://www.wikidata.org/entity/Q26857882	Parvkingdom
http://www.wikidata.org/entity/Q30093070	division
http://www.wikidata.org/entity/Q30093105	subdivision
http://www.wikidata.org/entity/Q32637163	Rupicaprini
http://www.wikidata.org/entity/Q32904875	Ovis
http://www.wikidata.org/entity/Q32904949	Pachyceros
